link,url,latitude,longitude,isNotObservatory,Type
Arecibo Observatory,/wiki/Arecibo_Observatory,18.34417,-66.75278,FALSE,Visible
Abastumani Astrophysical Observatory,/wiki/Georgian_National_Astrophysical_Observatory,41.75417,42.81944,FALSE,Visible
Abastumani,/wiki/Abastumani,41.7525,42.83194,TRUE,
Shiraz University,/wiki/Shiraz_University,29.6397417,52.52675,FALSE,Visible
Adolphson Observatory,/wiki/Adolphson_Observatory,40.9128,-90.6393,FALSE,Visible
Airdrie Public Observatory,/wiki/Airdrie_Public_Observatory,55.86556,-3.98278,FALSE,Visible
Airdrie,"/wiki/Airdrie,_North_Lanarkshire",55.86,-3.98,TRUE,
Aker Observatory,/wiki/Aker_Observatory,32.7993,-109.72822,FALSE,Visible
"Safford, Arizona","/wiki/Safford,_Arizona",32.82333,-109.71472,TRUE,
Aldershot Observatory,/wiki/Aldershot_Observatory,51.2588,-0.7632,FALSE,Visible
Aldershot,/wiki/Aldershot,51.248,-0.758,TRUE,
Algonquin Radio Observatory,/wiki/Algonquin_Radio_Observatory,45.9555,-78.073,FALSE,Radio
Algonquin Provincial Park,/wiki/Algonquin_Provincial_Park,45.58417,-78.35833,TRUE,
Allegheny Observatory,/wiki/Allegheny_Observatory,40.482525,-80.020829,FALSE,Visible
"Pittsburgh, Pennsylvania","/wiki/Pittsburgh,_Pennsylvania",40.43972,-79.97639,TRUE,
Ametlla de Mar Observatory,/wiki/Ametlla_de_Mar_Observatory,40.9289333,0.79125,FALSE,Visible
AMiBA,/wiki/AMiBA,19.536194,-155.575278,FALSE,Radio
Mauna Loa,/wiki/Mauna_Loa,19.479528,-155.602667,TRUE,
Hawaii,/wiki/Hawaii,21.31139,-157.79639,TRUE,
Anderson Mesa Station,/wiki/Anderson_Mesa_Station,35.09694,-111.53583,FALSE,Visible
"Flagstaff, Arizona","/wiki/Flagstaff,_Arizona",35.19917,-111.63111,TRUE,
Angell Hall Observatory,/wiki/Angell_Hall_Observatory,42.2767,-83.7399,FALSE,Visible
Ankara University Observatory,/wiki/Ankara_University_Observatory,39.84361,32.77722,FALSE,Visible
Antarctica,/wiki/Antarctica,-69.35778,-2.24722,TRUE,
Antarctic Submillimeter Telescope and Remote Observatory,/wiki/Antarctic_Submillimeter_Telescope_and_Remote_Observatory,-89.9944,-45.8833,FALSE,Microwave
Antarctica,/wiki/Antarctica,-69.35778,-2.24722,TRUE,
ANTARES (telescope),/wiki/ANTARES_(telescope),42.8,6.167,FALSE,Neutrino
Apache Point Observatory,/wiki/Apache_Point_Observatory,32.78028,-105.82028,FALSE,Visible
"Sunspot, New Mexico","/wiki/Sunspot,_New_Mexico",32.791,-105.818,TRUE,
Apollo Observatory,/wiki/Apollo_Observatory,39.788823,-84.201794,FALSE,Visible
Arcetri Observatory,/wiki/Arcetri_Observatory,43.750595,11.254426,FALSE,Visible
Arcetri,/wiki/Arcetri,43.75485,11.2518,TRUE,
Arecibo Observatory,/wiki/Arecibo_Observatory,18.34417,-66.75278,FALSE,Radio
"Arecibo, Puerto Rico","/wiki/Arecibo,_Puerto_Rico",18.375,-66.625,TRUE,
Argentine Institute of Radio Astronomy,/wiki/Argentine_Institute_of_Radio_Astronomy,-34.867,-58.14,FALSE,Radio
Armagh Observatory,/wiki/Armagh_Observatory,54.3532,-6.65,FALSE,Visible
Armagh,/wiki/Armagh,54.3499,-6.6546,TRUE,
Aryabhatta Research Institute of Observational Sciences,/wiki/Aryabhatta_Research_Institute_of_Observational_Sciences,29.022,79.027,FALSE,Visible
Nainital,/wiki/Nainital,29.395,79.449,TRUE,
Ashton Observatory,/wiki/Ashton_Observatory,41.813359,-93.288211,FALSE,Visible
"Baxter, Iowa","/wiki/Baxter,_Iowa",41.82444,-93.15083,TRUE,
Asiago Observatory,/wiki/Asiago_Observatory,45.8664,11.5264,FALSE,Visible
Asiago,/wiki/Asiago,45.867,11.517,TRUE,
Astronomical Observatory of Lisbon,/wiki/Astronomical_Observatory_of_Lisbon,38.7105389,-9.1875056,FALSE,Visible
Astronomy Centre,/wiki/Astronomy_Centre,53.71132,-2.1545,FALSE,Visible
Astrophysical Institute Potsdam,/wiki/Astrophysical_Institute_Potsdam,52.405,13.10417,FALSE,Visible
Atacama Pathfinder Experiment (APEX),/wiki/Atacama_Pathfinder_Experiment,-23.0058,-67.7592,FALSE,Microwave
Llano de Chajnantor Observatory,/wiki/Llano_de_Chajnantor_Observatory,-23.0228,-67.755,FALSE,Visible
Chile,/wiki/Chile,-30,-71,TRUE,
Australia Telescope Compact Array,/wiki/Australia_Telescope_Compact_Array,-30.31277778,149.5502778,FALSE,Visible
